material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-1210716,Mg6NiSn,"Mg, Ni, Sn",3,0.01460443260416655,Tetragonal,101,P4_2cm,0.0,True,True,0.27092146002116546,Mg: 0.7500; Ni: 0.1250; Sn: 0.1250
mp-31407,Ba5In4Bi5,"Ba, Bi, In",3,0.001364918736263654,Tetragonal,104,P4nc,0.0,False,True,0.4995737979436439,Ba: 0.3571; In: 0.2857; Bi: 0.3571
mp-1225200,FeCoSn2,"Co, Fe, Sn",3,0.025383974166666157,Monoclinic,10,P2/m,0.0,True,True,0.055396299515400815,Fe: 0.2500; Co: 0.2500; Sn: 0.5000
mp-1215564,ZnCuAu2,"Au, Cu, Zn",3,0.015102307499998968,Monoclinic,10,P2/m,0.0,True,True,0.3925796097608739,Zn: 0.2500; Cu: 0.2500; Au: 0.5000
mp-607475,Zr4In5Co2,"Co, In, Zr",3,0.0,Monoclinic,10,P2/m,0.0,False,True,0.23301828396320534,Zr: 0.3636; In: 0.4545; Co: 0.1818
mp-1215609,ZnGa11Co4,"Co, Ga, Zn",3,0.0,Monoclinic,10,P2/m,0.2397999999999998,True,False,0.052618912949622954,Zn: 0.0625; Ga: 0.6875; Co: 0.2500
mp-1223301,La2Al3Cu7,"Al, Cu, La",3,0.0,Monoclinic,10,P2/m,0.0,True,True,0.29210324468508647,La: 0.1667; Al: 0.2500; Cu: 0.5833
mp-1227912,Ca11(Cd9Au2)2,"Au, Ca, Cd",3,0.007351352121213184,Tetragonal,109,I4_1md,0.0,True,True,0.4817197583863825,Ca: 0.5000; Cd: 0.4091; Au: 0.0909
mp-1225981,La2Al7Ni,"Al, La, Ni",3,0.005589797749989245,Tetragonal,109,I4_1md,0.0,True,True,0.23629642401018258,La: 0.2000; Al: 0.7000; Ni: 0.1000
mp-1223390,La6Al3Fe11,"Al, Fe, La",3,0.010637716949998932,Tetragonal,108,I4cm,0.0,True,True,0.32190992528966855,La: 0.3000; Al: 0.1500; Fe: 0.5500
mp-1223645,La6Ga3Co11,"Co, Ga, La",3,0.0,Tetragonal,108,I4cm,0.0,True,True,0.3513897408860992,La: 0.3000; Ga: 0.1500; Co: 0.5500
mp-1055899,NbInNi,"In, Nb, Ni",3,0.09176686190476246,Tetragonal,107,I4mm,0.0,True,True,0.12710450643291737,Nb: 0.3333; In: 0.3333; Ni: 0.3333
mp-1227349,BaZnIn3,"Ba, In, Zn",3,0.0,Tetragonal,107,I4mm,0.0,True,True,0.34667564090948183,Ba: 0.2000; Zn: 0.2000; In: 0.6000
mp-30805,SrNiSn3,"Ni, Sn, Sr",3,0.0,Tetragonal,107,I4mm,0.0,False,True,0.3994696484089874,Sr: 0.2000; Ni: 0.2000; Sn: 0.6000
mp-1201034,ZrGa2Co,"Co, Ga, Zr",3,0.0,Tetragonal,107,I4mm,0.0,False,True,0.21981526334629264,Zr: 0.2500; Ga: 0.5000; Co: 0.2500
mp-30433,BaSn3Pt,"Ba, Pt, Sn",3,0.0,Tetragonal,107,I4mm,0.0,False,True,0.47640319058545355,Ba: 0.2000; Sn: 0.6000; Pt: 0.2000
mp-1216850,TiCuNi,"Cu, Ni, Ti",3,0.0,Tetragonal,107,I4mm,0.0,True,True,0.17211107524567443,Ti: 0.3333; Cu: 0.3333; Ni: 0.3333
mp-1227345,BaTl3Au,"Au, Ba, Tl",3,0.013759600333332234,Tetragonal,107,I4mm,0.0,True,True,0.5238473059966998,Ba: 0.2000; Tl: 0.6000; Au: 0.2000
mp-1227962,BaCd3Ga,"Ba, Cd, Ga",3,0.0010694490000009438,Tetragonal,107,I4mm,0.0,True,True,0.3352372294361114,Ba: 0.2000; Cd: 0.6000; Ga: 0.2000
