material_id,formula,elements,theoretical,valence_info,VEC_count
mp-1222956,LaAlCuNi3,"Al, Cu, La, Ni",True,"La: 1 (Valence: 3), Al: 1 (Valence: 3), Cu: 1 (Valence: 11), Ni: 3 (Valence: 10)",7.833333333333333
mp-1223196,La5Al15Cu4Au,"Al, Au, Cu, La",True,"La: 5 (Valence: 3), Al: 15 (Valence: 3), Cu: 4 (Valence: 11), Au: 1 (Valence: 11)",4.6
mp-1225911,La5Al15Cu2Au3,"Al, Au, Cu, La",True,"La: 5 (Valence: 3), Al: 15 (Valence: 3), Cu: 2 (Valence: 11), Au: 3 (Valence: 11)",4.6
mp-1223371,La2Al3GaPd4,"Al, Ga, La, Pd",True,"La: 2 (Valence: 3), Al: 3 (Valence: 3), Ga: 1 (Valence: 3), Pd: 4 (Valence: 10)",5.8
mp-1220637,Nb3AlSnMo3,"Al, Mo, Nb, Sn",True,"Nb: 3 (Valence: 5), Al: 1 (Valence: 3), Sn: 1 (Valence: 4), Mo: 3 (Valence: 6)",5.0
mp-1220647,Nb3AlV3Sn,"Al, Nb, Sn, V",True,"Nb: 3 (Valence: 5), Al: 1 (Valence: 3), V: 3 (Valence: 5), Sn: 1 (Valence: 4)",4.625
mp-1221443,MoPdRuRh,"Mo, Pd, Rh, Ru",True,"Mo: 1 (Valence: 6), Pd: 1 (Valence: 10), Ru: 1 (Valence: 8), Rh: 1 (Valence: 9)",8.25
mp-1224059,Hf2CoCuSn2,"Co, Cu, Hf, Sn",True,"Hf: 2 (Valence: 4), Co: 1 (Valence: 9), Cu: 1 (Valence: 11), Sn: 2 (Valence: 4)",6.0
mp-1215719,Zr2CoCuSn2,"Co, Cu, Sn, Zr",True,"Zr: 2 (Valence: 4), Co: 1 (Valence: 9), Cu: 1 (Valence: 11), Sn: 2 (Valence: 4)",6.0
mp-1221901,Mn2In2CuPd3,"Cu, In, Mn, Pd",True,"Mn: 2 (Valence: 7), In: 2 (Valence: 3), Cu: 1 (Valence: 11), Pd: 3 (Valence: 10)",7.625
mp-1219331,ScTi4(NiSn)5,"Ni, Sc, Sn, Ti",True,"Sc: 1 (Valence: 3), Ti: 4 (Valence: 4), Ni: 1 (Valence: 10), Sn: 1 (Valence: 4)",4.714285714285714
mp-1216380,Y2Sc2TiCo10,"Co, Sc, Ti, Y",True,"Y: 2 (Valence: 3), Sc: 2 (Valence: 3), Ti: 1 (Valence: 4), Co: 10 (Valence: 9)",7.066666666666666
mp-1219274,ScNb(NiSn)2,"Nb, Ni, Sc, Sn",True,"Sc: 1 (Valence: 3), Nb: 1 (Valence: 5), Ni: 1 (Valence: 10), Sn: 1 (Valence: 4)",5.5
mp-1222536,Li3Mg5Bi3Pb,"Bi, Li, Mg, Pb",True,"Li: 3 (Valence: 1), Mg: 5 (Valence: 2), Bi: 3 (Valence: 5), Pb: 1 (Valence: 4)",2.6666666666666665
mp-1226759,CdIn2SnAu2,"Au, Cd, In, Sn",True,"Cd: 1 (Valence: 12), In: 2 (Valence: 3), Sn: 1 (Valence: 4), Au: 2 (Valence: 11)",7.333333333333333
