material_id,formula,elements,theoretical,valence_info,VEC_count
mp-1210716,Mg6NiSn,"Mg, Ni, Sn",True,"Mg: 6 (Valence: 2), Ni: 1 (Valence: 10), Sn: 1 (Valence: 4)",3.25
mp-31407,Ba5In4Bi5,"Ba, Bi, In",False,"Ba: 5 (Valence: 2), In: 4 (Valence: 3), Bi: 5 (Valence: 5)",3.357142857142857
mp-1225200,FeCoSn2,"Co, Fe, Sn",True,"Fe: 1 (Valence: 8), Co: 1 (Valence: 9), Sn: 2 (Valence: 4)",6.25
mp-1215564,ZnCuAu2,"Au, Cu, Zn",True,"Zn: 1 (Valence: 12), Cu: 1 (Valence: 11), Au: 2 (Valence: 11)",11.25
mp-607475,Zr4In5Co2,"Co, In, Zr",False,"Zr: 4 (Valence: 4), In: 5 (Valence: 3), Co: 2 (Valence: 9)",4.454545454545454
mp-1215609,ZnGa11Co4,"Co, Ga, Zn",True,"Zn: 1 (Valence: 12), Ga: 11 (Valence: 3), Co: 4 (Valence: 9)",5.0625
mp-1223301,La2Al3Cu7,"Al, Cu, La",True,"La: 2 (Valence: 3), Al: 3 (Valence: 3), Cu: 7 (Valence: 11)",7.666666666666667
mp-1227912,Ca11(Cd9Au2)2,"Au, Ca, Cd",True,"Ca: 11 (Valence: 2), Cd: 9 (Valence: 12), Au: 2 (Valence: 11)",6.909090909090909
mp-1225981,La2Al7Ni,"Al, La, Ni",True,"La: 2 (Valence: 3), Al: 7 (Valence: 3), Ni: 1 (Valence: 10)",3.7
mp-1223390,La6Al3Fe11,"Al, Fe, La",True,"La: 6 (Valence: 3), Al: 3 (Valence: 3), Fe: 11 (Valence: 8)",5.75
mp-1223645,La6Ga3Co11,"Co, Ga, La",True,"La: 6 (Valence: 3), Ga: 3 (Valence: 3), Co: 11 (Valence: 9)",6.3
mp-1055899,NbInNi,"In, Nb, Ni",True,"Nb: 1 (Valence: 5), In: 1 (Valence: 3), Ni: 1 (Valence: 10)",6.0
mp-1227349,BaZnIn3,"Ba, In, Zn",True,"Ba: 1 (Valence: 2), Zn: 1 (Valence: 12), In: 3 (Valence: 3)",4.6
mp-30805,SrNiSn3,"Ni, Sn, Sr",False,"Sr: 1 (Valence: 2), Ni: 1 (Valence: 10), Sn: 3 (Valence: 4)",4.8
mp-1201034,ZrGa2Co,"Co, Ga, Zr",False,"Zr: 1 (Valence: 4), Ga: 2 (Valence: 3), Co: 1 (Valence: 9)",4.75
mp-30433,BaSn3Pt,"Ba, Pt, Sn",False,"Ba: 1 (Valence: 2), Sn: 3 (Valence: 4), Pt: 1 (Valence: 10)",4.8
