material_id,formula,elements,theoretical,valence_info
mp-1186151,NaLi3,"Li, Na",True,
mp-973316,NaLi3,"Li, Na",True,
mp-977218,Li2Mg,"Li, Mg",True,
mp-1094586,Li2Mg,"Li, Mg",True,
mp-982380,Li2Mg,"Li, Mg",True,
mp-976256,Li3Mg,"Li, Mg",True,
mp-1094982,LiMg,"Li, Mg",True,
mp-1222419,Li4Mg,"Li, Mg",True,
mp-865604,Li5Mg,"Li, Mg",True,
mp-2362485,LiMg,"Li, Mg",True,
mp-1094675,LiMg,"Li, Mg",True,
mp-976139,Li3Mg,"Li, Mg",True,
mp-977122,Li5Mg,"Li, Mg",True,
mp-976254,Li3Mg,"Li, Mg",True,
mp-1094591,Li3Mg,"Li, Mg",True,
mp-1094569,Li2Mg,"Li, Mg",True,
mp-976239,LiMg,"Li, Mg",True,
mp-1094578,LiMg,"Li, Mg",True,
mp-1094889,LiMg,"Li, Mg",True,
mp-977207,Li2Mg,"Li, Mg",True,
mp-1094853,LiMg,"Li, Mg",True,
mp-976944,Li5Mg,"Li, Mg",True,
mp-1094576,Li2Mg,"Li, Mg",True,
mp-976244,LiMg,"Li, Mg",True,
mp-1094575,LiMg,"Li, Mg",True,
mp-1094573,LiMg,"Li, Mg",True,
mp-976885,Li2Mg,"Li, Mg",True,
mp-1094607,Li2Mg,"Li, Mg",True,
mp-1185370,LiMg,"Li, Mg",True,
mp-976843,Li2Mg,"Li, Mg",True,
mp-1094594,LiMg,"Li, Mg",True,
mp-1185380,LiMg,"Li, Mg",True,
mp-1094592,LiMg,"Li, Mg",True,
mp-1094568,LiMg,"Li, Mg",True,
mp-1094598,Li3Mg,"Li, Mg",True,
mp-981935,Li5Mg,"Li, Mg",True,
mp-1094673,LiMg,"Li, Mg",True,
mp-1094589,LiMg,"Li, Mg",True,
mp-1094580,LiMg,"Li, Mg",True,
mp-1094590,Li5Mg,"Li, Mg",True,
mp-1094562,Li2Mg,"Li, Mg",True,
mp-1100190,LiMg,"Li, Mg",True,
mp-1094601,Li2Mg,"Li, Mg",True,
mp-1222270,LiMg,"Li, Mg",True,
mp-1094159,Li3Mg,"Li, Mg",True,
mp-976982,Li2Mg,"Li, Mg",True,
mp-976262,LiMg,"Li, Mg",True,
mp-1094593,LiMg2,"Li, Mg",True,
mp-1094581,LiMg2,"Li, Mg",True,
mp-1094574,LiMg2,"Li, Mg",True,
mp-1094604,LiMg2,"Li, Mg",True,
mp-1094156,LiMg2,"Li, Mg",True,
mp-1094582,LiMg2,"Li, Mg",True,
mp-1094587,LiMg2,"Li, Mg",True,
mp-1094570,LiMg2,"Li, Mg",True,
mp-1094605,LiMg2,"Li, Mg",True,
mp-1094559,LiMg2,"Li, Mg",True,
mp-1094579,LiMg2,"Li, Mg",True,
mp-973455,LiMg2,"Li, Mg",True,
mp-865939,LiMg2,"Li, Mg",True,
mp-973374,LiMg2,"Li, Mg",True,
mp-1094600,LiMg2,"Li, Mg",True,
mp-1094670,LiMg3,"Li, Mg",True,
mp-1094567,LiMg3,"Li, Mg",True,
mp-1094665,LiMg3,"Li, Mg",True,
mp-1094602,LiMg3,"Li, Mg",True,
mp-1016222,LiMg3,"Li, Mg",True,
mp-1094603,LiMg3,"Li, Mg",True,
mp-1094596,LiMg3,"Li, Mg",True,
mp-1206428,Li3Mg5,"Li, Mg",True,
mp-1094558,LiMg5,"Li, Mg",True,
mp-1094588,LiMg5,"Li, Mg",True,
mp-1094609,LiMg5,"Li, Mg",True,
mp-1094599,LiMg5,"Li, Mg",True,
mp-1016274,LiMg7,"Li, Mg",True,
mp-1023493,LiMg15,"Li, Mg",True,
mp-866755,LiMg149,"Li, Mg",True,
mp-1079240,LiAl,"Al, Li",False,
mp-975868,Li3Al,"Al, Li",True,
mp-1210753,Li2Al,"Al, Li",True,
mp-1067,LiAl,"Al, Li",False,
mp-16506,Li3Al2,"Al, Li",False,
mp-10890,LiAl3,"Al, Li",False,
mp-975906,LiAl3,"Al, Li",True,
mp-568404,Li9Al4,"Al, Li",False,
mp-976075,Li3Ca,"Ca, Li",True,
mp-11644,Li2Ca,"Ca, Li",False,
mp-975929,Li3Ca,"Ca, Li",True,
mp-570466,Li2Ca,"Ca, Li",False,
mp-976272,LiCa3,"Ca, Li",True,
mp-1185350,LiCa3,"Ca, Li",True,
mp-1185204,Li3Ni,"Li, Ni",True,
mp-1185214,Li3Ni,"Li, Ni",True,
mp-1185266,LiNi3,"Li, Ni",True,
mp-975882,Li3Cu,"Cu, Li",True,
mp-862658,LiCu3,"Cu, Li",True,
mp-1185338,LiCu3,"Cu, Li",True,
mp-974058,LiCu3,"Cu, Li",True,
mp-1185312,LiCu3,"Cu, Li",True,
mp-1934,LiZn,"Li, Zn",False,
mp-1185291,Li3Zn,"Li, Zn",True,
mp-976412,Li3Zn,"Li, Zn",True,
mp-976414,Li3Zn,"Li, Zn",True,
mp-975799,LiZn3,"Li, Zn",True,
mp-1222288,LiZn3,"Li, Zn",True,
mp-865907,LiZn3,"Li, Zn",True,
mp-1193737,LiZn13,"Li, Zn",False,
mp-29210,Li2Ga,"Ga, Li",False,
mp-1307,LiGa,"Ga, Li",False,
mp-976025,Li3Ga,"Ga, Li",True,
mp-976023,Li3Ga,"Ga, Li",True,
mp-9568,Li3Ga2,"Ga, Li",False,
mp-863257,LiGa3,"Ga, Li",True,
mp-1185332,LiGa3,"Ga, Li",True,
mp-1205930,Li5Ga4,"Ga, Li",True,
mp-1222769,Li2Ga7,"Ga, Li",True,
mp-567306,Li3Ga7,"Ga, Li",True,
mp-1222489,Li3Ga14,"Ga, Li",True,
mp-972285,Sr3Li,"Li, Sr",True,
mp-1187126,Sr3Li,"Li, Sr",True,
mp-7507,Sr3Li2,"Li, Sr",False,
mp-2272,Sr6Li23,"Li, Sr",False,
mp-1195042,Sr19Li44,"Li, Sr",False,
mp-1185235,Li3Rh,"Li, Rh",True,
mp-1185255,Li3Rh,"Li, Rh",True,
mp-600561,LiRh,"Li, Rh",False,
mp-1001787,LiRh3,"Li, Rh",False,
mp-1185455,LiRh3,"Li, Rh",True,
mp-728,Li2Pd,"Li, Pd",False,
mp-2743,LiPd,"Li, Pd",False,
mp-976281,Li3Pd,"Li, Pd",True,
mp-2744,LiPd,"Li, Pd",False,
mp-11489,Li3Pd,"Li, Pd",False,
mp-861936,LiPd3,"Li, Pd",True,
mp-1197547,Li15Pd4,"Li, Pd",False,
mp-1079855,LiPd7,"Li, Pd",False,
