material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal
mp-20466,Sn7Ir5,"Ir, Sn",2,0.002421364999996456,Tetragonal,107,I4mm,0.0,False,True
mp-567345,NbRh,"Nb, Rh",2,0.01561178666666585,Monoclinic,10,P2/m,0.0,False,True
mp-569073,LiSn,"Li, Sn",2,0.0,Monoclinic,10,P2/m,0.0,False,True
mp-31284,NaSn5,"Na, Sn",2,0.022532833333333002,Tetragonal,113,P-42_1m,0.0,False,True
mp-30471,CaCu,"Ca, Cu",2,0.00013930450000110284,Monoclinic,11,P2_1/m,0.0,False,True
mp-30420,SrAu,"Au, Sr",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True
mp-1048,TiNi,"Ni, Ti",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True
mp-1067210,ZrCu,"Cu, Zr",2,0.02489150673077134,Monoclinic,11,P2_1/m,0.0,False,True
mp-567638,TaPt3,"Pt, Ta",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True
mp-1399,AlAu,"Al, Au",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True
mp-1199016,Ga5Pt,"Ga, Pt",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True
mp-569776,TaNi3,"Ni, Ta",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True
mp-30768,Li7Sn3,"Li, Sn",2,0.0009651171666664737,Monoclinic,11,P2_1/m,0.0,False,True
mp-12700,NbPt3,"Nb, Pt",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True
mp-1179013,TiNi,"Ni, Ti",2,0.010050409999999843,Monoclinic,11,P2_1/m,0.0,False,True
mp-30665,Ga17Rh10,"Ga, Rh",2,0.0,Tetragonal,116,P-4c2,0.0,False,True
mp-680677,Sn3Ru2,"Ru, Sn",2,0.0,Tetragonal,116,P-4c2,0.0,False,True
mp-574338,CsGa3,"Cs, Ga",2,0.0,Tetragonal,119,I-4m2,0.0,False,True
mp-30589,LaCu4,"Cu, La",2,0.007857694666665083,Tetragonal,119,I-4m2,0.0,False,True
mp-542339,CsIn3,"Cs, In",2,0.0,Tetragonal,119,I-4m2,0.0,False,True
mp-30748,Zr3Ir,"Ir, Zr",2,0.0,Tetragonal,121,I-42m,0.0,False,True
mp-30412,Pb3Au,"Au, Pb",2,0.005083911875004787,Tetragonal,121,I-42m,0.0,False,True
mp-582055,La7Ni16,"La, Ni",2,0.0,Tetragonal,121,I-42m,0.0,False,True
mp-569841,Ba19Li44,"Ba, Li",2,0.006834211772487109,Tetragonal,122,I-42d,0.0,False,True
mp-1526,TiHg,"Hg, Ti",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-522,CuAu,"Au, Cu",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-1963,NbRh,"Nb, Rh",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-2685,HgPd,"Hg, Pd",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-1601,TaRu,"Ru, Ta",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-2831,FePd,"Fe, Pd",2,0.008477096666666739,Tetragonal,123,P4/mmm,0.0,False,True
mp-1359,NbIr,"Ir, Nb",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-2213,FeNi,"Fe, Ni",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-11470,Hg2Pt,"Hg, Pt",2,0.022148594999990223,Tetragonal,123,P4/mmm,0.0,False,True
mp-1696,CdPd,"Cd, Pd",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True
