material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-20466,Sn7Ir5,"Ir, Sn",2,0.002421364999996456,Tetragonal,107,I4mm,0.0,False,True,0.1183,Sn: 0.5833; Ir: 0.4167
mp-567345,NbRh,"Nb, Rh",2,0.01561178666666585,Monoclinic,10,P2/m,0.0,False,True,0.3400,Nb: 0.5000; Rh: 0.5000
mp-569073,LiSn,"Li, Sn",2,0.0,Monoclinic,10,P2/m,0.0,False,True,0.4900,Li: 0.5000; Sn: 0.5000
mp-31284,NaSn5,"Na, Sn",2,0.022532833333333002,Tetragonal,113,P-42_1m,0.0,False,True,0.3839,Na: 0.1667; Sn: 0.8333
mp-30471,CaCu,"Ca, Cu",2,0.00013930450000110284,Monoclinic,11,P2_1/m,0.0,False,True,0.4500,Ca: 0.5000; Cu: 0.5000
mp-30420,SrAu,"Au, Sr",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True,0.7950,Sr: 0.5000; Au: 0.5000
mp-1048,TiNi,"Ni, Ti",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True,0.1850,Ti: 0.5000; Ni: 0.5000
mp-1067210,ZrCu,"Cu, Zr",2,0.02489150673077134,Monoclinic,11,P2_1/m,0.0,False,True,0.2850,Zr: 0.5000; Cu: 0.5000
mp-567638,TaPt3,"Pt, Ta",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True,0.3377,Ta: 0.2500; Pt: 0.7500
mp-1399,AlAu,"Al, Au",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True,0.4650,Al: 0.5000; Au: 0.5000
mp-1199016,Ga5Pt,"Ga, Pt",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True,0.1752,Ga: 0.8333; Pt: 0.1667
mp-569776,TaNi3,"Ni, Ta",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True,0.1775,Ta: 0.2500; Ni: 0.7500
mp-30768,Li7Sn3,"Li, Sn",2,0.0009651171666664737,Monoclinic,11,P2_1/m,0.0,False,True,0.4491,Li: 0.7000; Sn: 0.3000
mp-12700,NbPt3,"Nb, Pt",2,0.0,Monoclinic,11,P2_1/m,0.0,False,True,0.2944,Nb: 0.2500; Pt: 0.7500
mp-1179013,TiNi,"Ni, Ti",2,0.010050409999999843,Monoclinic,11,P2_1/m,0.0,False,True,0.1850,Ti: 0.5000; Ni: 0.5000
mp-30665,Ga17Rh10,"Ga, Rh",2,0.0,Tetragonal,116,P-4c2,0.0,False,True,0.2270,Ga: 0.6296; Rh: 0.3704
mp-680677,Sn3Ru2,"Ru, Sn",2,0.0,Tetragonal,116,P-4c2,0.0,False,True,0.1176,Sn: 0.6000; Ru: 0.4000
mp-574338,CsGa3,"Cs, Ga",2,0.0,Tetragonal,119,I-4m2,0.0,False,True,0.4417,Cs: 0.2500; Ga: 0.7500
mp-30589,LaCu4,"Cu, La",2,0.007857694666665083,Tetragonal,119,I-4m2,0.0,False,True,0.3200,La: 0.2000; Cu: 0.8000
mp-542339,CsIn3,"Cs, In",2,0.0,Tetragonal,119,I-4m2,0.0,False,True,0.4287,Cs: 0.2500; In: 0.7500
mp-30748,Zr3Ir,"Ir, Zr",2,0.0,Tetragonal,121,I-42m,0.0,False,True,0.3767,Zr: 0.7500; Ir: 0.2500
mp-30412,Pb3Au,"Au, Pb",2,0.005083911875004787,Tetragonal,121,I-42m,0.0,False,True,0.0909,Pb: 0.7500; Au: 0.2500
mp-582055,La7Ni16,"La, Ni",2,0.0,Tetragonal,121,I-42m,0.0,False,True,0.3727,La: 0.3043; Ni: 0.6957
mp-569841,Ba19Li44,"Ba, Li",2,0.006834211772487109,Tetragonal,122,I-42d,0.0,False,True,0.0413,Ba: 0.3016; Li: 0.6984
mp-1526,TiHg,"Hg, Ti",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.2300,Ti: 0.5000; Hg: 0.5000
mp-522,CuAu,"Au, Cu",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3200,Cu: 0.5000; Au: 0.5000
mp-1963,NbRh,"Nb, Rh",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3400,Nb: 0.5000; Rh: 0.5000
mp-2685,HgPd,"Hg, Pd",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.1000,Hg: 0.5000; Pd: 0.5000
mp-1601,TaRu,"Ru, Ta",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3500,Ta: 0.5000; Ru: 0.5000
mp-2831,FePd,"Fe, Pd",2,0.008477096666666739,Tetragonal,123,P4/mmm,0.0,False,True,0.1850,Fe: 0.5000; Pd: 0.5000
mp-1359,NbIr,"Ir, Nb",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3000,Nb: 0.5000; Ir: 0.5000
mp-2213,FeNi,"Fe, Ni",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.0400,Fe: 0.5000; Ni: 0.5000
mp-11470,Hg2Pt,"Hg, Pt",2,0.022148594999990223,Tetragonal,123,P4/mmm,0.0,False,True,0.1320,Hg: 0.6667; Pt: 0.3333
mp-1696,CdPd,"Cd, Pd",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.2550,Cd: 0.5000; Pd: 0.5000
mp-2260,FePt,"Fe, Pt",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.2250,Fe: 0.5000; Pt: 0.5000
mp-2767,TiGa,"Ga, Ti",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.1350,Ti: 0.5000; Ga: 0.5000
mp-2678,VPt,"Pt, V",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3250,V: 0.5000; Pt: 0.5000
mp-22924,NaBi,"Bi, Na",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.5450,Na: 0.5000; Bi: 0.5000
mp-20034,CaPb,"Ca, Pb",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.6650,Ca: 0.5000; Pb: 0.5000
