material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-1222956,LaAlCuNi3,"Al, Cu, La, Ni",4,0.013165002619049737,Monoclinic,10,P2/m,0.0,True,True,0.2992026440762551,La: 0.1667; Al: 0.1667; Cu: 0.1667; Ni: 0.5000
mp-1223196,La5Al15Cu4Au,"Al, Au, Cu, La",4,0.004621460400007216,Tetragonal,107,I4mm,0.0,True,True,0.31580601640880746,La: 0.2000; Al: 0.6000; Cu: 0.1600; Au: 0.0400
mp-1225911,La5Al15Cu2Au3,"Al, Au, Cu, La",4,0.0,Tetragonal,107,I4mm,0.0,True,True,0.40182105469972573,La: 0.2000; Al: 0.6000; Cu: 0.0800; Au: 0.1200
mp-1223371,La2Al3GaPd4,"Al, Ga, La, Pd",4,0.0028058277499987128,Tetragonal,115,P-4m2,0.0,True,True,0.4141787053917669,La: 0.2000; Al: 0.3000; Ga: 0.1000; Pd: 0.4000
mp-1220637,Nb3AlSnMo3,"Al, Mo, Nb, Sn",4,0.0336648793749994,Trigonal,146,R3,0.0,True,True,0.2610525569688985,Nb: 0.3750; Al: 0.1250; Sn: 0.1250; Mo: 0.3750
mp-1220647,Nb3AlV3Sn,"Al, Nb, Sn, V",4,0.06176199824999884,Trigonal,146,R3,0.0,True,True,0.11508149286483903,Nb: 0.3750; Al: 0.1250; V: 0.3750; Sn: 0.1250
mp-1221443,MoPdRuRh,"Mo, Pd, Rh, Ru",4,0.09579211270833454,Trigonal,156,P3m1,0.0,True,True,0.043588989435406594,Mo: 0.2500; Pd: 0.2500; Ru: 0.2500; Rh: 0.2500
mp-1224059,Hf2CoCuSn2,"Co, Cu, Hf, Sn",4,0.0,Trigonal,156,P3m1,0.0,True,True,0.29606680927715545,Hf: 0.3333; Co: 0.1667; Cu: 0.1667; Sn: 0.3333
mp-1215719,Zr2CoCuSn2,"Co, Cu, Sn, Zr",4,0.0,Trigonal,156,P3m1,0.0,True,True,0.2819968478941249,Zr: 0.3333; Co: 0.1667; Cu: 0.1667; Sn: 0.3333
mp-1221901,Mn2In2CuPd3,"Cu, In, Mn, Pd",4,0.049387274892241706,Trigonal,160,R3m,0.0,True,True,0.26067220795474155,Mn: 0.2500; In: 0.2500; Cu: 0.1250; Pd: 0.3750
mp-1219331,ScTi4(NiSn)5,"Ni, Sc, Sn, Ti",4,0.0073486426666660165,Trigonal,160,R3m,0.0,True,True,0.20443051810992863,Sc: 0.1429; Ti: 0.5714; Ni: 0.1429; Sn: 0.1429
mp-1216380,Y2Sc2TiCo10,"Co, Sc, Ti, Y",4,0.04773000400000171,Trigonal,160,R3m,0.0,True,True,0.2635147054720096,Y: 0.1333; Sc: 0.1333; Ti: 0.0667; Co: 0.6667
mp-1219274,ScNb(NiSn)2,"Nb, Ni, Sc, Sn",4,0.0,Trigonal,160,R3m,0.42459999999999987,True,False,0.24345174059759764,Sc: 0.2500; Nb: 0.2500; Ni: 0.2500; Sn: 0.2500
mp-1222536,Li3Mg5Bi3Pb,"Bi, Li, Mg, Pb",4,0.027088313333330394,Trigonal,160,R3m,0.2008000000000001,True,False,0.45557655778145567,Li: 0.2500; Mg: 0.4167; Bi: 0.2500; Pb: 0.0833
mp-1226759,CdIn2SnAu2,"Au, Cd, In, Sn",4,0.008692134999989776,Trigonal,160,R3m,0.0,True,True,0.35676400540911574,Cd: 0.1667; In: 0.3333; Sn: 0.1667; Au: 0.3333
mp-1215264,ZrScVNi3,"Ni, Sc, V, Zr",4,0.08053023916666824,Trigonal,160,R3m,0.0,True,True,0.2536237370594479,Zr: 0.1667; Sc: 0.1667; V: 0.1667; Ni: 0.5000
mp-1215226,ZrScMnNi3,"Mn, Ni, Sc, Zr",4,0.03200524562500373,Trigonal,160,R3m,0.0,True,True,0.2577089227964155,Zr: 0.1667; Sc: 0.1667; Mn: 0.1667; Ni: 0.5000
mp-1215369,Zr4Sc(NiSn)5,"Ni, Sc, Sn, Zr",4,0.012637284000001081,Trigonal,160,R3m,0.0,True,True,0.27112012549602355,Zr: 0.5714; Sc: 0.1429; Ni: 0.1429; Sn: 0.1429
mp-1215239,ZrSc(NiSn)2,"Ni, Sc, Sn, Zr",4,0.017091691666667685,Trigonal,160,R3m,0.0,True,True,0.29571946165242485,Zr: 0.2500; Sc: 0.2500; Ni: 0.2500; Sn: 0.2500
mp-1219264,ScTi(NiSn)2,"Ni, Sc, Sn, Ti",4,0.01468313500000118,Trigonal,160,R3m,0.0,True,True,0.2513339412017405,Sc: 0.2500; Ti: 0.2500; Ni: 0.2500; Sn: 0.2500
mp-1224252,Na34Cd6Ga92Cu7,"Cd, Cu, Ga, Na",4,0.02009265436770402,Trigonal,160,R3m,0.15910000000000002,True,False,0.3792605697718326,Na: 0.2446; Cd: 0.0432; Ga: 0.6619; Cu: 0.0504
mp-1216272,Y16Mg3AlNi4,"Al, Mg, Ni, Y",4,0.0,Trigonal,160,R3m,0.0,True,True,0.25766984689714856,Y: 0.6667; Mg: 0.1250; Al: 0.0417; Ni: 0.1667
mp-1221873,Mn3V2Ga2Co,"Co, Ga, Mn, V",4,0.010367313437500414,Trigonal,160,R3m,0.0,True,True,0.12717483045005407,Mn: 0.3750; V: 0.2500; Ga: 0.2500; Co: 0.1250
