material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal
mp-1210716,Mg6NiSn,"Mg, Ni, Sn",3,0.01460443260416655,Tetragonal,101,P4_2cm,0.0,True,True
mp-31407,Ba5In4Bi5,"Ba, Bi, In",3,0.001364918736263654,Tetragonal,104,P4nc,0.0,False,True
mp-1225200,FeCoSn2,"Co, Fe, Sn",3,0.025383974166666157,Monoclinic,10,P2/m,0.0,True,True
mp-1215564,ZnCuAu2,"Au, Cu, Zn",3,0.015102307499998968,Monoclinic,10,P2/m,0.0,True,True
mp-607475,Zr4In5Co2,"Co, In, Zr",3,0.0,Monoclinic,10,P2/m,0.0,False,True
mp-1215609,ZnGa11Co4,"Co, Ga, Zn",3,0.0,Monoclinic,10,P2/m,0.2397999999999998,True,False
mp-1223301,La2Al3Cu7,"Al, Cu, La",3,0.0,Monoclinic,10,P2/m,0.0,True,True
mp-1227912,Ca11(Cd9Au2)2,"Au, Ca, Cd",3,0.007351352121213184,Tetragonal,109,I4_1md,0.0,True,True
mp-1225981,La2Al7Ni,"Al, La, Ni",3,0.005589797749989245,Tetragonal,109,I4_1md,0.0,True,True
mp-1223390,La6Al3Fe11,"Al, Fe, La",3,0.010637716949998932,Tetragonal,108,I4cm,0.0,True,True
mp-1223645,La6Ga3Co11,"Co, Ga, La",3,0.0,Tetragonal,108,I4cm,0.0,True,True
mp-1055899,NbInNi,"In, Nb, Ni",3,0.09176686190476246,Tetragonal,107,I4mm,0.0,True,True
mp-1227349,BaZnIn3,"Ba, In, Zn",3,0.0,Tetragonal,107,I4mm,0.0,True,True
mp-30805,SrNiSn3,"Ni, Sn, Sr",3,0.0,Tetragonal,107,I4mm,0.0,False,True
mp-1201034,ZrGa2Co,"Co, Ga, Zr",3,0.0,Tetragonal,107,I4mm,0.0,False,True
mp-30433,BaSn3Pt,"Ba, Pt, Sn",3,0.0,Tetragonal,107,I4mm,0.0,False,True
mp-1216850,TiCuNi,"Cu, Ni, Ti",3,0.0,Tetragonal,107,I4mm,0.0,True,True
mp-1227345,BaTl3Au,"Au, Ba, Tl",3,0.013759600333332234,Tetragonal,107,I4mm,0.0,True,True
mp-1227962,BaCd3Ga,"Ba, Cd, Ga",3,0.0010694490000009438,Tetragonal,107,I4mm,0.0,True,True
mp-1218256,SrIn3Hg,"Hg, In, Sr",3,0.0001848974444444984,Tetragonal,107,I4mm,0.0,True,True
mp-1200150,ZrGa2Ni,"Ga, Ni, Zr",3,0.0,Tetragonal,107,I4mm,0.0,False,True
mp-30834,SrSn3Pd,"Pd, Sn, Sr",3,0.0,Tetragonal,107,I4mm,0.0,False,True
mp-30269,HfGa2Ni,"Ga, Hf, Ni",3,0.0,Tetragonal,107,I4mm,0.0,False,True
mp-1216602,Tl2Pd9Pb,"Pb, Pd, Tl",3,0.009856629166669961,Tetragonal,107,I4mm,0.0,True,True
mp-1227967,BaGa3Sn,"Ba, Ga, Sn",3,0.019365479500000227,Tetragonal,107,I4mm,0.0,True,True
mp-1068048,BaSn3Au,"Au, Ba, Sn",3,0.0,Tetragonal,107,I4mm,0.0,False,True
