material_id,formula,elements,theoretical,valence_info
mp-1186151,NaLi3,"Li, Na",True,"Na: 1 (Valence: 1), Li: 3 (Valence: 1)"
mp-973316,NaLi3,"Li, Na",True,"Na: 1 (Valence: 1), Li: 3 (Valence: 1)"
mp-977218,Li2Mg,"Li, Mg",True,"Li: 2 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094586,Li2Mg,"Li, Mg",True,"Li: 2 (Valence: 1), Mg: 1 (Valence: 2)"
mp-982380,Li2Mg,"Li, Mg",True,"Li: 2 (Valence: 1), Mg: 1 (Valence: 2)"
mp-976256,Li3Mg,"Li, Mg",True,"Li: 3 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094982,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1222419,Li4Mg,"Li, Mg",True,"Li: 4 (Valence: 1), Mg: 1 (Valence: 2)"
mp-865604,Li5Mg,"Li, Mg",True,"Li: 5 (Valence: 1), Mg: 1 (Valence: 2)"
mp-2362485,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094675,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-976139,Li3Mg,"Li, Mg",True,"Li: 3 (Valence: 1), Mg: 1 (Valence: 2)"
mp-977122,Li5Mg,"Li, Mg",True,"Li: 5 (Valence: 1), Mg: 1 (Valence: 2)"
mp-976254,Li3Mg,"Li, Mg",True,"Li: 3 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094591,Li3Mg,"Li, Mg",True,"Li: 3 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094569,Li2Mg,"Li, Mg",True,"Li: 2 (Valence: 1), Mg: 1 (Valence: 2)"
mp-976239,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094578,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094889,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
